time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.35897284099e-06,1.93752030178e-06,10.0030002756,0.000377890143408,0.0011896346204,0.0,-0.000313459048267,0.000111332387782,0.100004861174,-0.00804002572244,-0.0132081247588,0.0,437.15335395473613,436.05164072823965,437.53490663672267,436.8651990273748
0.12000000000000001,-5.01361830013e-05,6.75455085162e-05,10.0161130942,0.0105904495212,0.000392592020551,0.0,-0.00108420909864,0.00337006211247,0.337043706705,-0.045084694804,-0.0153533644765,0.0,478.1443282281045,477.9810241925675,480.22127117126735,477.40346043330555
0.18,-0.000127952203037,0.000516346270515,10.0430679599,0.00793388736685,0.00131816993482,0.0,-0.00160453519829,0.0112739024492,0.561371166785,-0.0489799342276,-0.00161838580358,0.0,473.79817679023324,474.85292781828383,475.5723792141118,475.2728527006397
0.23999999999999996,-0.000302750637072,0.00139743032629,10.0863667211,0.00574091354113,0.0102585258938,0.0,-0.00538244061218,0.0177876335877,0.881727032584,-0.0406439752534,0.0301351590696,0.0,501.8570670373802,504.15619310611305,501.3978505449211,502.00200763330696
0.3,-0.00087499507892,0.00258568296655,10.144165142,0.0035953110862,0.0148236392414,0.0,-0.0141802227197,0.0215892207554,1.04474732778,-0.0478944037518,0.0471635521769,0.0,456.7023917288482,458.0589475602019,457.4672311357204,456.88863531190293
0.36000000000000004,-0.00213250137169,0.00396246484319,10.2156826516,0.000819400703428,0.0176944682812,0.0,-0.0281056645546,0.0239364753502,1.33886764409,-0.0454654621463,0.0484856989014,0.0,495.6536775139961,495.7519392966941,495.8156408968129,495.9929591731765
0.4200000000000001,-0.00419116570214,0.00541725551803,10.2987684899,0.00100081620784,0.0206602189438,0.0,-0.0408116393661,0.0245949299835,1.43054392064,-0.0653890583455,0.0501548665326,0.0,435.6565614155446,435.79763392076546,437.2638494009633,435.59924019450534
0.48000000000000015,-0.00711409290239,0.00690396903978,10.3892216875,6.28126006561,0.0241243498248,0.0,-0.056989035448,0.0246538018971,1.58435359848,-0.0775947165457,0.0564393118998,0.0,454.25707586514284,454.7624057816594,457.39529623886125,456.4187619446163
0.5400000000000001,-0.0110842307821,0.00832326513528,10.4882405502,6.2766347632,0.0310689136922,0.0,-0.0761084916466,0.0221668384956,1.71606397658,-0.0810506053901,0.0345406002036,0.0,450.5246319639903,448.7521940848234,449.26473341954136,448.9795738026694
0.6000000000000002,-0.016261129111,0.0095097227764,10.5928887739,6.27186662971,0.033509417242,0.0,-0.0966928784209,0.0169316651418,1.77211252048,-0.0858329628635,0.0265870395562,0.0,425.4300369283886,424.748953120658,426.67257735363114,426.2582450728876
0.6600000000000003,-0.0227261120939,0.0102971379141,10.7006200412,6.26805550336,0.0399761200603,0.0,-0.119436654266,0.00897125679045,1.81882782343,-0.099765523397,0.0011791773337,0.0,423.2328048954662,421.0404764628803,424.35714692902627,423.1522414249236
0.7200000000000003,-0.0306539474346,0.0105298412973,10.8111214353,6.26288667598,0.0400739537108,0.0,-0.144830313303,-0.00168829315735,1.86446854853,-0.110940859558,0.00214483625523,0.0,422.64208012110373,422.7252628538255,423.4174291403551,422.44503509218634
0.7800000000000004,-0.0399402790681,0.0101131603992,10.9200625696,6.25677702782,0.0423254121055,0.0,-0.164874100569,-0.0126420530367,1.76704144389,-0.120330512083,0.0169502303149,0.0,372.0637160366224,373.5102775788022,373.5492551762337,372.6181850336505
0.8400000000000004,-0.0508618063159,0.00876607397637,11.031503752,6.26106347456,0.0536859806095,0.0,-0.200499255027,-0.031718171968,1.94732125192,-0.158709258434,-0.0195012184339,0.0,466.430828073834,463.57553168318447,466.47567136189946,463.4536079292834
0.9000000000000005,-0.0639920514008,0.00637636803895,11.1512216125,6.25240395578,0.0526832754276,0.0,-0.237062741996,-0.048800799385,2.04308776059,-0.170157630055,-0.0160618483241,0.0,439.0756970265228,439.360980975104,440.5861215856244,439.61314829225125
0.9600000000000005,-0.0793731327057,0.00273045178589,11.2781291021,6.24237632504,0.0518384080384,0.0,-0.27554156079,-0.0738126310507,2.18686009705,-0.166535696869,-0.0212243918888,0.0,455.86745606942173,455.4548460179206,454.28458968566747,454.5482616497311
1.0200000000000005,-0.0970972568778,-0.00268064093975,11.4147105451,6.23245239902,0.0505886368687,0.0,-0.315103226062,-0.107664617443,2.3654536687,-0.170839811821,-0.0203548618474,0.0,466.11632017701197,466.18429657145475,466.4905205347306,466.1287597856654
1.0800000000000005,-0.117087649822,-0.0102589715719,11.5602341599,6.22240481393,0.0515583623181,0.0,-0.351352350841,-0.145979386066,2.48500953653,-0.177118289966,-0.0378141965952,0.0,449.7216989424542,448.3051764736395,449.42403029298106,448.886459833556
1.1400000000000006,-0.13926340666,-0.0203226237951,11.7126362335,6.21515308549,0.0541920901158,0.0,-0.38807759146,-0.190228155163,2.59474306995,-0.158157923241,-0.0147295708207,0.0,444.6995549423624,446.5861165089033,447.0250835166573,448.5396889131409
1.2000000000000006,-0.163781414793,-0.033305032311,11.8733293456,6.20904248871,0.0536562585733,0.0,-0.429119618386,-0.243150111351,2.76124897168,-0.179530974737,-0.022501773857,0.0,465.26350606653637,464.6546985734064,465.47705065285186,463.7766188609399
1.2600000000000007,-0.190545170752,-0.0493253386269,12.0401448251,6.19922315798,0.0540743427607,0.0,-0.4630298096,-0.291772019404,2.79908690713,-0.169973627727,-0.00908598264683,0.0,424.2980351507545,425.4482851510044,425.35805864170874,426.14431011156285
